repo,folder,claim_id,source_file,status,falsifier_text,quantity,units,how_obtained,reference,maps_to,breaks_at,downgrade_reason,notes
gm,addon_thermodynamic_control,F1,addon_thermodynamic_control/README_addendum.md,MEASURED,"kappa_eff crosses 90th percentile N steps before basin_kl crosses epsilon_s. N > 0 validates the hypothesis (falsifier: N <= 0, no lead).",lead N = basin_fail_step - kappa_spike_step,steps (integer count),"experiment_formal.py / experiment_stability.py: first step kappa_eff > its 90th percentile vs first step basin_kl > epsilon_basin (0.15), read from results CSV",,,,,Later refuted by sims/kappa_eff_leading (IP-18 kill test); look-ahead defect in the 90th-percentile alarm documented there.
gm,addon_thermodynamic_control,F2,addon_thermodynamic_control/README_stability.md,MEASURED,Spectral Stability Condition: sup_theta lambda_max(Hessian L_safety) < C_bound. If this fails: repair cost diverges. Thermodynamic phase transition.,"lambda_max(H_safety) vs C_bound, plus repair-cost trend",eigenvalue (dimensionless curvature); repair energy units,power iteration on Hessian-vector products in stability.py; repair cost logged per step,,,,,
gm,addon_thermodynamic_control,F3,addon_thermodynamic_control/README_stability.md,MEASURED,Stability requires dV/dt <= 0. Key output: results/stability/certificates.csv; column 'empirical_stability' = True means both Lyapunov condition and spectral bound held (falsifier: dV/dt > 0 along a trajectory).,sign of dV/dt along trajectory,boolean verdict in 'empirical_stability' column,"dV/dt estimated each step from the Lyapunov candidate V(theta,pi); experiment_stability.py writes certificates.csv",,,,,
gm,atlas,trust_region,atlas/exports/manifold_invariants.json,MEASURED,[parameter_manifold] invariant: ||delta|| <= trust_radius after every step (falsifier: any observed violation).,||delta|| step norm,L2 norm in parameter units vs trust_radius (default 0.05),hard clamp enforced by manifolds/parameter_manifold.py:78-79; inspect per-step delta_norm,,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,confidence_bounded,atlas/exports/manifold_invariants.json,MEASURED,"[parameter_manifold] invariant: geometric_confidence() returns float in [0, 1] (falsifier: any observed violation).",return value of geometric_confidence(),"float in [0, 1]","call ParameterManifold.geometric_confidence(theta, safety_risk)",,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,confidence_monotonic,atlas/exports/manifold_invariants.json,MEASURED,[parameter_manifold] invariant: Higher drift from reference produces lower confidence (falsifier: any observed violation).,confidence as a function of drift,monotonicity direction: decreasing_with_drift (boolean),"sweep drift, evaluate geometric_confidence() at each level",,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,curvature_nonneg,atlas/exports/manifold_invariants.json,MEASURED,[parameter_manifold] invariant: Variance-based curvature proxy is always >= 0 (falsifier: any observed violation).,softmax-variance curvature proxy,"dimensionless, lower bound 0.0",ParameterManifold.curvature_proxy(logits),,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,finite_outputs,atlas/exports/manifold_invariants.json,MEASURED,[parameter_manifold] invariant: Every repair step produces finite parameters and metrics (falsifier: any observed violation).,finiteness of theta and metrics,boolean isfinite check per step,run repair_step and test torch.isfinite on outputs,,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,bounded_drift,atlas/exports/manifold_invariants.json,MEASURED,"[parameter_manifold] invariant: Over N steps, distance grows by at most N * trust_radius (falsifier: any observed violation).",||theta_N - theta_ref|| growth over N steps,L2 distance; bound N*trust_radius per step,measure distance from reference across an N-step run,,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,js_self_zero,atlas/exports/manifold_invariants.json,MEASURED,"[policy_manifold] invariant: JS(P, P) = 0, so confidence = 1.0 for identical distributions (falsifier: any observed violation).","JS divergence / trajectory_confidence(P,P)",nats (normalized); confidence = 1.0,"PolicyManifold.trajectory_confidence(P, P)",,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,js_symmetry,atlas/exports/manifold_invariants.json,MEASURED,"[policy_manifold] invariant: JS(P, Q) == JS(Q, P) within numerical tolerance (falsifier: any observed violation).","JS(P,Q) - JS(Q,P)",nats; equality within numerical tolerance,evaluate trajectory_confidence both orders,,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,reanchor_convex,atlas/exports/manifold_invariants.json,MEASURED,"[policy_manifold] invariant: reanchor(P, Q) = (1-s)*P + s*Q exactly (falsifier: any observed violation).",reanchor output vs convex combination,exact distributional equality (boolean),PolicyManifold.reanchor at several s,,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,reanchor_boundary,atlas/exports/manifold_invariants.json,MEASURED,"[policy_manifold] invariant: s=0 returns P, s=1 returns Q (falsifier: any observed violation).","reanchor output at s in {0,1}",exact equality to P / Q (boolean),PolicyManifold.reanchor boundary calls,,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
gm,atlas,minority_never_fully_dropped,atlas/exports/manifold_invariants.json,MEASURED,[data_manifold] invariant: Every minority sample gets weight > 0 (falsifier: any observed violation).,minimum minority-sample weight after rectify,weight > 0 (boolean per sample),DataManifold.asymmetric_weights / rectify output weights,,,,,Exported invariant; violation refutes the layer contract. Same set listed in CLAUDE.md and tested in tests/test_invariants.py.
